player,fg_per_g,fta_per_g,ast_per_g,pts_per_g,per,usg_pct,ws,ws_per_48,vorp,mov,win_loss_pct
Nikolo Jokic,9.4,6,9.8,24.5,31.5,27.2,14.9,0.308,8.8,3.33,0.646
Luka Doncic,10.9,10.5,8,32.4,28.7,37.6,10.2,0.204,6.6,0.07,0.463
Joel Embiid,11,11.7,4.2,33.1,31.4,37,12.3,0.259,6.4,4.32,0.659
Giannis Anteto,11.2,12.3,5.7,31.1,29,38.8,8.6,0.204,5.4,3.63,0.707
Damian Lillard,9.6,9.6,7.3,32.2,26.7,33.8,9,0.205,4.9,-4.01,0.402
Devin Booker,9.9,6.8,5.5,27.8,22,31.8,6,0.157,2.9,2.07,0.549
Stephan Curry,10,5,6.3,29.4,24.1,31,7.8,0.192,4.7,1.8,0.537
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
